EMPLOYEEID,EMPLOYEEACCESS,Name,ACCESS,EMAIL,EmployeeGender,EmployeeDept,EmployeeBusinessUnit,EmployeeJobTitle,EMPLOYEEREGION,EmployeeCountry,EmployeeState,EmployeeCity,EmployeeJobClass,EmployeeManager,EmployeeEmploymentType,BAND,PERFRATING,EmployeeEthnicity,DOB,HIREDATE,DPDate,EmployeeActiveFlag,RECRUIT,SALARY,TOTALCOMP,OMITGROUP
354,354,Hashim Ingram,USER,Hashim. Ingram@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,C,Other,25615,35842,41686,Y,Job Fair,39311,0,Production
355,355,Colorado Johnson,USER,Colorado.o Johnson@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,20844,29244,41663,Y,Internal,49823,262,Production
356,356,Bill Murtal,USER,Bill.urtal@bnna.com,Male,Production,Engineering,Computer Operator,AMERICAS,USA,NY,New York,Contributor,N,FTE,4,B,Black or African American,28711,40764,41860,Y,None,47322,8220,Production
357,357,Xanthus Rodriguez,USER,Xanthus.odriguez@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Asian,21939,36915,41663,Y,New Hire Program,50232,633,Production
358,358,Sidonia Marino,USER,Sidonia.a Marino@bnna.com,Male,Production,Engineering,Computer Operator,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,C,Unknown,28538,40226,41687,Y,College Hire,31290,0,Production
359,359,Baltasar Björnstjerna,USER,Baltasar.rnstjerna@bnna.com,Male,Production,Distribution,Logistics Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,A,Black or African American,32615,39920,41746,Y,College Hire,85551,12598,Production
360,360,Danielle Robert,USER,Danielle.le Robert@bnna.com,Female,Production,Engineering,Technology Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,A,White,26373,38061,41713,Y,College Hire,76875,5207,Production
361,361,Lovisa Svinhufvud,USER,Lovisa.nhufvud@bnna.com,-,Production,Engineering,Computer Operator,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,31411,38351,42003,Y,College Hire,55524,1451,Production
362,362,Jamalia Downs,USER,Jamalia.ia Downs@bnna.com,Female,Production,Distribution,Logistics Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,B,White,30612,37917,41935,Y,Linkedin,93486,8919,Production
363,363,Chantale Vargas,USER,Chantale.le Vargas@bnna.com,Female,Production,Engineering,Computer Operator,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,White,24379,36067,41911,Y,Linkedin,21696,0,Production
364,364,Jin Spears,USER,Jin.ears@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,4,B,Asian,20724,36429,41908,Y,Linkedin,68014,8243,Production
365,365,Ensio Isokoski,USER,Ensio.okoski@bnna.com,Female,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Other,21883,33571,41972,Y,Linkedin,56502,1687,Production
366,366,Irene Engelbrektsson,USER,Irene.ktsson@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,4,C,Other,19793,35864,41708,Y,Linkedin,47158,4217,Production
367,367,Vanessa Blackmore,USER,Vanessa.lackmore@bnna.com,Female,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,C,Unknown,23433,40600,41696,Y,Recruiter,59061,786,Production
368,368,Upton Reyes,USER,Upton. Reyes@bnna.com,Male,Production,Engineering,Computer Operator,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,A,Other,19295,26965,41940,Y,Internal,20074,0,Production
369,369,Cassandra Jimenez,USER,Cassandra.ra Jimenez@bnna.com,Female,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,28602,39194,41751,Y,Acquisition,50084,4458,Production
370,370,Ines Wouters,USER,Ines.uters@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Hispanic or Latino,27574,37436,41819,Y,Recruiter,47321,2492,Production
371,371,Nick Wagner,USER,Nick.agner@bnna.com,Male,Production,Warehouse,Warehouse Assistant Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,B,Unknown,32543,40213,41674,Y,Internal,95803,11601,Production
372,372,Darius England,USER,Darius.England@bnna.com,Male,Production,Warehouse,Warehouse Assistant Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,C,Asian,28155,38016,41669,Y,Internal,86372,6497,Production
373,373,Inga Roach,USER,Inga.Roach@bnna.com,Female,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,D,Black or African American,29731,37036,41784,Y,Recruiter,37437,0,Production
374,374,Baozhen Yáng,USER,Baozhen.hen Yáng@bnna.com,Female,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,A,White,21468,36078,41922,Y,Internal,18603,0,Production
375,375,Florian Keschmann,USER,Florian.eschmann@bnna.com,-,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,Unknown,20547,32600,41731,Y,Acquisition,45613,1411,Production
376,376,Moana Pacheco,USER,Moana.acheco@bnna.com,Female,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Other,34371,41311,41676,N,Recruiter,11260,0,Production
377,377,Dennis Farley,USER,Dennis. Farley@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,31884,41381,41746,Y,Internal,44809,1818,Production
378,378,Malik Briggs,USER,Malik.Briggs@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Black or African American,28420,40473,41934,Y,Internal,36141,2354,Production
379,379,Kylan Orr,USER,Kylan.an Orr@bnna.com,Female,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Asian,19849,35920,41764,Y,Recruiter,51137,1837,Production
380,380,Lysandra Velez,USER,Lysandra.dra Velez@bnna.com,Female,Production,Engineering,Technology Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,B,Black or African American,22197,36076,41920,Y,Linkedin,87885,13755,Production
381,381,Boris Harrison,USER,Boris.rrison@bnna.com,Male,Production,Engineering,Technology Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,B,Asian,19659,36095,41939,Y,Linkedin,69868,14347,Production
382,382,Aila Forssell,USER,Aila.ssell@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,4,B,White,23556,39992,41818,Y,Linkedin,59898,4132,Production
383,383,David Piper,USER,David. Piper@bnna.com,Male,Production,Warehouse,Warehouse Assistant Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,A,White,21530,36140,41984,Y,Recruiter,70239,4796,Production
384,384,Liren Lim,USER,Liren.en Lim@bnna.com,Female,Production,Distribution,Logistics Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,C,Unknown,20151,28187,41701,Y,Internal,71190,14522,Production
385,385,Lois Woods,USER,Lois.Woods@bnna.com,Female,Production,Distribution,Logistics Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,B,Hispanic or Latino,24226,40662,41758,Y,Acquisition,85278,7174,Production
386,386,Jakeem Wilder,USER,Jakeem. Wilder@bnna.com,Male,Production,Distribution,Distribution Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,1,B,Black or African American,29107,37873,41891,Y,Recruiter,16789,0,Production
387,387,Gloria Miller,USER,Gloria. Miller@bnna.com,Female,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,White,21715,33403,41804,Y,None,57520,2658,Production
388,388,Nell Avila,USER,Nell.Avila@bnna.com,Female,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,4,C,Unknown,21643,30044,41732,Y,None,41626,5132,Production
389,389,Kalle Koskinen,USER,Kalle.skinen@bnna.com,Male,Production,Distribution,Distribution Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,White,22014,29684,41737,Y,None,34118,0,Production
390,390,Steve Peralta,USER,Steve.eralta@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Unknown,24476,33973,41643,Y,Website,42871,1109,Production
391,391,Burton Barry,USER,Burton.n Barry@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,19177,31595,41822,Y,Website,62984,260,Production
392,392,Chadwick Hunt,USER,Chadwick.wick Hunt@bnna.com,Male,Production,Engineering,Computer Operator,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Black or African American,21363,38530,41817,Y,Internal,62907,547,Production
393,393,Almut Diederichsen,USER,Almut.ichsen@bnna.com,Male,Production,Engineering,Computer Operator,AMERICAS,USA,NY,New York,Contributor,N,FTE,4,B,White,20672,34186,41856,Y,New Hire Program,40616,3118,Production
394,394,Jani Heikkinen,USER,Jani.kinen@bnna.com,Female,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,White,29596,40553,41649,Y,New Hire Program,60692,2565,Production
395,395,Harrison Snow,USER,Harrison.ison Snow@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Black or African American,24081,38326,41978,Y,Website,25709,0,Production
396,396,Adriana Iacobucci,USER,Adriana.acobucci@bnna.com,Female,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Unknown,28552,39510,41701,N,Website,47179,1330,Production
397,397,Caroline Gretton,USER,Caroline.e Gretton@bnna.com,Female,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,C,White,29058,38555,41842,Y,Internal,12969,0,Production
398,398,Elsbeth Wiesinger,USER,Elsbeth.iesinger@bnna.com,Female,Production,Distribution,Distribution Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,1,D,Hispanic or Latino,22178,36057,41901,Y,New Hire Program,29085,0,Production
399,399,Melanie White,USER,Melanie.ie White@bnna.com,Female,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,C,White,22549,36063,41907,Y,College Hire,20372,0,Production
400,400,Adrien Martin,USER,Adrien. Martin@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,C,Other,25294,35156,41730,Y,College Hire,31552,0,Production
401,401,Lisa Hopkins,USER,Lisa.pkins@bnna.com,Female,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,C,Unknown,27347,39766,41957,Y,College Hire,38744,9974,Production
402,402,Carson Pickford,USER,Carson.ickford@bnna.com,Male,Production,Engineering,Computer Operator,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Asian,22142,36386,41865,Y,College Hire,19596,0,Production
403,403,Thomas Black,USER,Thomas.s Black@bnna.com,Male,Production,Distribution,Distribution Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,White,24573,41010,41740,Y,College Hire,32160,0,Production
404,404,Bernard Alaliza,USER,Bernard. Alaliza@bnna.com,Male,Production,Distribution,Distribution Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,1,B,Black or African American,21862,34281,41951,Y,College Hire,34021,0,Production
405,405,Chase Barrera,USER,Chase.arrera@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,4,B,White,32734,40039,41865,Y,Internal,26613,5935,Production
406,406,Kevin Fulton,USER,Kevin.Fulton@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Asian,21563,29599,41652,Y,Website,28436,2041,Production
407,407,Allen Gage,USER,Allen.n Gage@bnna.com,Male,Production,Distribution,Distribution Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,1,B,Unknown,21702,35947,41791,Y,Internal,21916,0,Production
408,408,Cora Jackson,USER,Cora.ckson@bnna.com,Female,Production,Distribution,Distribution Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,1,A,White,20290,37457,41840,Y,Website,17268,0,Production
409,409,De Luca Fiorello,USER,De.llo@bnna.com,-,Production,Engineering,Technology Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,A,White,22415,37755,41773,Y,Job Fair,65104,10902,Production
410,410,Nigel Sandoval,USER,Nigel.ndoval@bnna.com,Male,Production,Engineering,Product Technician,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Other,25139,32809,41940,Y,Job Fair,13643,902,Production
411,411,Clio Dunn,USER,Clio. Dunn@bnna.com,Female,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,23307,36822,41935,Y,Job Fair,28454,3504,Production
412,412,Alexandre Pereira,USER,Alexandre.re Pereira@bnna.com,-,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,32489,40524,41985,Y,Job Fair,32540,1417,Production
413,413,Ashton Duran,USER,Ashton.n Duran@bnna.com,Male,Production,Engineering,Product Technician,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Black or African American,22245,29550,41968,Y,Internal,16497,2329,Production
414,414,Antoine Dubois,USER,Antoine.e Dubois@bnna.com,Female,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Hispanic or Latino,27353,39772,41963,Y,Internal,12675,2567,Production
415,415,Barb Ross,USER,Barb. Ross@bnna.com,Female,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Other,20455,29221,41640,Y,Internal,24531,750,Production
416,416,Samantha Browning,USER,Samantha. Browning@bnna.com,Female,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,Unknown,24434,32835,41966,Y,Internal,31501,2337,Production
417,417,Janet Beacon,USER,Janet.Beacon@bnna.com,-,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,Unknown,28877,38374,41661,Y,Internal,36163,43,Production
418,418,Vaughan Gutierrez,USER,Vaughan.utierrez@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,C,White,33682,41352,41717,Y,None,36551,497,Production
419,419,Shana Mullins,USER,Shana.ullins@bnna.com,Female,Production,Engineering,Computer Operator,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,White,25688,32628,41759,Y,None,32670,0,Production
420,420,Birger Lagerbielke,USER,Birger.rbielke@bnna.com,Male,Production,Warehouse,Warehouse Assistant Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,B,Unknown,21342,35952,41796,Y,None,65298,13961,Production
421,421,Brenden Goff,USER,Brenden.den Goff@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,19119,27154,41764,Y,None,19033,2898,Production
422,422,Sabine Grüner,USER,Sabine. Grüner@bnna.com,Female,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,21157,29192,41976,Y,None,26588,805,Production
423,423,Boris Harrison,USER,Boris.rrison@bnna.com,Male,Production,Engineering,Computer Operator,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,A,Other,29056,40744,41840,Y,None,26940,0,Production
424,424,Barrett Roach,USER,Barrett.tt Roach@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,26655,40534,41995,Y,Internal,32789,241,Production
425,425,Armando Schwartz,USER,Armando.Schwartz@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,25104,38253,41905,N,None,24242,281,Production
426,426,Lila Klein,USER,Lila.Klein@bnna.com,Female,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,White,24070,36123,41967,Y,None,21087,0,Production
427,427,Bengt Gradin,USER,Bengt.Gradin@bnna.com,Female,Production,Engineering,Product Technician,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,27345,40494,41955,Y,None,14537,710,Production
428,428,Caldwell Acevedo,USER,Caldwell.l Acevedo@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,C,Black or African American,26947,40461,41922,Y,Website,25857,152,Production
429,429,Norman Le,USER,Norman.rman Le@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,2,B,Other,25223,36545,41659,Y,Website,31740,0,Production
430,430,Jason Gay,USER,Jason.on Gay@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,B,White,29952,37622,41640,Y,Internal,22861,701,Production
431,431,Denton Owen,USER,Denton.on Owen@bnna.com,Male,Production,Engineering,Technology Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,B,White,27291,34961,41901,Y,New Hire Program,99405,4286,Production
432,432,Reinhard Rader,USER,Reinhard.ard Rader@bnna.com,Male,Production,Engineering,Technology Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,A,Asian,25186,39796,41987,Y,New Hire Program,70528,5101,Production
433,433,Amos Guy,USER,Amos.s Guy@bnna.com,-,Production,Engineering,Technology Manager,AMERICAS,USA,NY,New York,Manager,Y,FTE,5,A,Other,29178,40501,41962,Y,Website,69181,9863,Production
434,434,Heidi Delassixe,USER,Heidi.assixe@bnna.com,Female,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,Other,25490,34256,41926,Y,Website,11720,2749,Production
435,435,Jeffrey Silverman,USER,Jeffrey.ilverman@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,A,Unknown,22021,32248,41744,Y,Internal,32843,1215,Production
436,436,Oliver O'Sullivan,USER,Oliver.ullivan@bnna.com,Male,Production,Distribution,Distribution Worker,AMERICAS,USA,NY,New York,Contributor,N,PTE,1,C,Hispanic or Latino,28576,36246,41725,Y,New Hire Program,13428,0,Production
437,437,Otto Short,USER,Otto.Short@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,4,C,Hispanic or Latino,28355,37121,41869,Y,College Hire,22484,3080,Production
438,438,Oren Owen,USER,Oren. Owen@bnna.com,Male,Production,Engineering,Product Technician,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,C,White,20870,34019,41689,Y,College Hire,18616,237,Production
439,439,Preston Durham,USER,Preston.n Durham@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,3,C,White,20704,31296,41888,Y,College Hire,28052,2744,Production
440,440,Amal Morrison,USER,Amal.rison@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,NY,New York,Contributor,N,FTE,4,C,Unknown,21119,36094,41938,Y,College Hire,38839,2705,Production
441,441,Gretchen Goetschy,USER,Gretchen. Goetschy@bnna.com,Male,Production,Distribution,Distribution Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,PTE,1,B,White,24721,36044,41888,Y,College Hire,36727,0,Production
442,442,Walker Williamson,USER,Walker.liamson@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,B,Other,24411,37560,41943,Y,Internal,23578,1270,Production
443,443,Ralph Carroll,USER,Ralph.arroll@bnna.com,Male,Production,Warehouse,Warehouse Assistant Manager,AMERICAS,USA,CA,San Francisco,Manager,Y,FTE,5,B,White,23191,40358,41819,Y,Website,66535,12675,Production
444,444,Melissa Reys,USER,Melissa.ssa Reys@bnna.com,Female,Production,Warehouse,Warehouse Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,B,White,27767,37629,41647,Y,Internal,38864,2556,Production
445,445,Steve Peralta,USER,Steve.eralta@bnna.com,Male,Production,Distribution,Distribution Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,PTE,1,B,Other,27976,40394,41855,Y,Website,36361,0,Production
446,446,Caterina Pera,USER,Caterina.rina Pera@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,B,White,23123,40290,41751,Y,Job Fair,16378,6525,Production
447,447,Thomas Faraday,USER,Thomas.Faraday@bnna.com,Male,Production,Engineering,Product Technician,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,B,White,28615,41399,41764,Y,Job Fair,31632,1978,Production
448,448,James Neal,USER,James.s Neal@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,4,B,White,19226,27626,41871,N,Job Fair,15253,7258,Production
449,449,Brenna Boone,USER,Brenna.a Boone@bnna.com,Female,Production,Warehouse,Warehouse Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,4,A,Black or African American,19181,34156,41826,Y,Job Fair,10809,6176,Production
450,450,Janet Danniston,USER,Janet.niston@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,A,White,26377,40256,41717,Y,Internal,29347,917,Production
451,451,Hyacinth Meyer,USER,Hyacinth.nth Meyer@bnna.com,Female,Production,Warehouse,Warehouse Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,B,Unknown,19664,35370,41944,Y,Internal,13505,2368,Production
452,452,Elmo Ferrell,USER,Elmo.rrell@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,B,White,27331,38654,41941,Y,Internal,34978,2852,Production
453,453,Hashim Schmidt,USER,Hashim.Schmidt@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,B,White,26429,35560,41769,Y,Internal,32419,9007,Production
454,454,Nevada Baldwin,USER,Nevada.Baldwin@bnna.com,Female,Production,Engineering,Product Technician,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,4,B,White,26581,38269,41921,Y,Internal,38600,8232,Production
455,455,Lane Bowers,USER,Lane.owers@bnna.com,Male,Production,Engineering,Product Technician,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,B,White,25331,39576,41767,Y,None,16153,2212,Production
456,456,Astrid Richard,USER,Astrid.Richard@bnna.com,Female,Production,Engineering,Technology Manager,AMERICAS,USA,CA,San Francisco,Manager,Y,FTE,5,C,Other,28442,36843,41956,Y,None,80103,8493,Production
457,457,Artur Ankarcrona,USER,Artur.rcrona@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,4,C,Black or African American,30167,40029,41855,Y,None,27908,8796,Production
458,458,Xantha Cannon,USER,Xantha. Cannon@bnna.com,Female,Production,Engineering,Computer Operator,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,4,C,White,21194,34343,41648,Y,None,23021,9144,Production
459,459,Aimee Hays,USER,Aimee.e Hays@bnna.com,Female,Production,Engineering,Technology Manager,AMERICAS,USA,CA,San Francisco,Manager,Y,FTE,5,A,Hispanic or Latino,25073,32012,41874,Y,None,81858,10191,Production
460,460,Wallace Everett,USER,Wallace. Everett@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,B,White,24759,39369,41926,Y,None,12594,2241,Production
461,461,Wyatt Stephens,USER,Wyatt.ephens@bnna.com,Male,Production,Engineering,Computer Operator,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,A,White,20455,32874,41640,Y,Internal,10509,2843,Production
462,462,Anna Schulz,USER,Anna.chulz@bnna.com,Female,Production,Engineering,Product Technician,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,B,Other,30646,38317,41969,Y,None,20468,63,Production
463,463,Derek Hawkins,USER,Derek.awkins@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,4,B,White,22336,34024,41694,Y,None,23691,9598,Production
464,464,Hugo Meeus,USER,Hugo.Meeus@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,B,Other,29171,39764,41955,Y,None,39186,2162,Production
465,465,Meifeng Lee,USER,Meifeng.feng Lee@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,CA,San Francisco,Contributor,N,FTE,3,B,Unknown,21323,29359,41777,Y,Website,34494,314,Production
466,466,Geesje Herbert,USER,Geesje.Herbert@bnna.com,Male,Production,Engineering,Product Technician,AMERICAS,USA,IL,Chicago,Contributor,N,FTE,3,B,White,21881,36491,41970,Y,Website,53853,1130,Production
467,467,Margaret Wilson,USER,Margaret.et Wilson@bnna.com,Female,Production,Warehouse,Warehouse Worker,AMERICAS,USA,IL,Chicago,Contributor,N,FTE,3,B,White,24982,39957,41783,Y,Internal,60239,1838,Production
468,468,Jordan Kirk,USER,Jordan.an Kirk@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,IL,Chicago,Contributor,N,FTE,4,A,Black or African American,23032,35451,41660,Y,New Hire Program,50474,7570,Production
469,469,Branden Hunter,USER,Branden.n Hunter@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,IL,Chicago,Contributor,N,FTE,3,A,White,20887,30749,41706,Y,New Hire Program,63462,9023,Production
470,470,Sophie Vanhaelst,USER,Sophie.nhaelst@bnna.com,Female,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,IL,Chicago,Contributor,N,FTE,3,B,White,26555,40434,41895,Y,Website,51408,2362,Production
471,471,Garth Brown,USER,Garth. Brown@bnna.com,Male,Production,Engineering,Product Technician,AMERICAS,USA,IL,Chicago,Contributor,N,FTE,4,B,Hispanic or Latino,28344,38571,41858,Y,Website,56066,7990,Production
472,472,Colin Guy,USER,Colin.in Guy@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,IL,Chicago,Contributor,N,FTE,3,B,White,23405,40572,41668,Y,Internal,62450,2998,Production
473,473,Cameron Elliott,USER,Cameron. Elliott@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,IL,Chicago,Contributor,N,PTE,2,B,White,21416,35661,41870,Y,New Hire Program,61468,0,Production
474,474,Mike Smith,USER,Mike.Smith@bnna.com,Male,Production,Warehouse,Warehouse Worker,AMERICAS,USA,IL,Chicago,Contributor,N,PTE,2,B,Other,25981,41322,41687,N,College Hire,43417,0,Production
475,475,Jakeem Wilder,USER,Jakeem. Wilder@bnna.com,Male,Production,Shipping and Receiving,Production Worker,AMERICAS,USA,IL,Chicago,Contributor,N,PTE,2,B,White,27558,36324,41803,Y,College Hire,39062,0,Production
